start_time,end_time,usage,source
2022-09-25T00:00:00Z,2022-09-25T00:14:00Z,0.02,real
2022-09-25T00:15:00Z,2022-09-25T00:29:00Z,0.02,real
2022-09-25T00:30:00Z,2022-09-25T00:44:00Z,0.03,real
2022-09-25T00:45:00Z,2022-09-25T00:59:00Z,0.03,real
2022-09-25T01:00:00Z,2022-09-25T01:14:00Z,0.02,real
2022-09-25T01:15:00Z,2022-09-25T01:29:00Z,0.03,real
2022-09-25T01:30:00Z,2022-09-25T01:44:00Z,0.03,real
2022-09-25T01:45:00Z,2022-09-25T01:59:00Z,0.02,real
2022-09-25T02:00:00Z,2022-09-25T02:14:00Z,0.02,real
2022-09-25T02:15:00Z,2022-09-25T02:29:00Z,0.03,real
2022-09-25T02:30:00Z,2022-09-25T02:44:00Z,0.02,real
2022-09-25T02:45:00Z,2022-09-25T02:59:00Z,0.02,real
2022-09-25T03:00:00Z,2022-09-25T03:14:00Z,0.03,real
2022-09-25T03:15:00Z,2022-09-25T03:29:00Z,0.03,real
2022-09-25T03:30:00Z,2022-09-25T03:44:00Z,0.02,real
2022-09-25T03:45:00Z,2022-09-25T03:59:00Z,0.03,real
2022-09-25T04:00:00Z,2022-09-25T04:14:00Z,0.03,real
2022-09-25T04:15:00Z,2022-09-25T04:29:00Z,0.02,real
2022-09-25T04:30:00Z,2022-09-25T04:44:00Z,0.02,real
2022-09-25T04:45:00Z,2022-09-25T04:59:00Z,0.03,real
2022-09-25T05:00:00Z,2022-09-25T05:14:00Z,0.02,real
2022-09-25T05:15:00Z,2022-09-25T05:29:00Z,0.02,real
2022-09-25T05:30:00Z,2022-09-25T05:44:00Z,0.03,real
2022-09-25T05:45:00Z,2022-09-25T05:59:00Z,0.03,real
2022-09-25T06:00:00Z,2022-09-25T06:14:00Z,0.02,real
2022-09-25T06:15:00Z,2022-09-25T06:29:00Z,0.02,real
2022-09-25T06:30:00Z,2022-09-25T06:44:00Z,0.03,real
2022-09-25T06:45:00Z,2022-09-25T06:59:00Z,0.03,real
2022-09-25T07:00:00Z,2022-09-25T07:14:00Z,0.02,real
2022-09-25T07:15:00Z,2022-09-25T07:29:00Z,0.02,real
2022-09-25T07:30:00Z,2022-09-25T07:44:00Z,0.03,real
2022-09-25T07:45:00Z,2022-09-25T07:59:00Z,0.03,real
2022-09-25T08:00:00Z,2022-09-25T08:14:00Z,0.02,real
2022-09-25T08:15:00Z,2022-09-25T08:29:00Z,0.03,real
2022-09-25T08:30:00Z,2022-09-25T08:44:00Z,0.03,real
2022-09-25T08:45:00Z,2022-09-25T08:59:00Z,0.02,real
2022-09-25T09:00:00Z,2022-09-25T09:14:00Z,0.02,real
2022-09-25T09:15:00Z,2022-09-25T09:29:00Z,0.03,real
2022-09-25T09:30:00Z,2022-09-25T09:44:00Z,0.02,real
2022-09-25T09:45:00Z,2022-09-25T09:59:00Z,0.02,real
2022-09-25T10:00:00Z,2022-09-25T10:14:00Z,0.03,real
