time,temperature_2m,relativehumidity_2m,rain,snowfall,cloudcover,windspeed_10m
2020-01-01T00:00:00Z,40.3,66,0,0,5,14.6
2020-01-01T01:00:00Z,39.8,64,0,0,0,15.5
2020-01-01T02:00:00Z,39.4,64,0,0,0,15.7
2020-01-01T03:00:00Z,38.9,64,0,0,0,15.7
2020-01-01T04:00:00Z,38,65,0,0,23,15.5
2020-01-01T05:00:00Z,36.2,68,0,0,39,12.3
2020-01-01T06:00:00Z,36.2,67,0,0,28,12.8
2020-01-01T07:00:00Z,36.6,67,0,0,6,13.4
2020-01-01T08:00:00Z,36.3,66,0,0,0,14.8
2020-01-01T09:00:00Z,36.6,64,0,0,0,15.3
2020-01-01T10:00:00Z,37.5,58,0,0,2,18.8
2020-01-01T11:00:00Z,38,56,0,0,77,22.9
2020-01-01T12:00:00Z,38.6,53,0,0,100,23.1
2020-01-01T13:00:00Z,39,53,0,0,100,21.7
2020-01-01T14:00:00Z,38.3,52,0,0,100,21.7
2020-01-01T15:00:00Z,38.5,53,0,0,100,19
2020-01-01T16:00:00Z,38.7,52,0,0,27,15.9
2020-01-01T17:00:00Z,37.2,54,0,0,78,12.2
2020-01-01T18:00:00Z,36.6,57,0,0,0,11.7
2020-01-01T19:00:00Z,36.4,58,0,0,0,11.4
2020-01-01T20:00:00Z,35.6,60,0,0,0,11.3
2020-01-01T21:00:00Z,34.9,61,0,0,0,10.5
2020-01-01T22:00:00Z,33.4,65,0,0,0,10.4
2020-01-01T23:00:00Z,32.6,66,0,0,0,9.6
2020-01-02T00:00:00Z,31.7,69,0,0,0,10
2020-01-02T01:00:00Z,31.2,69,0,0,0,9.3
2020-01-02T02:00:00Z,30.9,71,0,0,3,9.8
2020-01-02T03:00:00Z,30.8,72,0,0,16,10.3
2020-01-02T04:00:00Z,30.7,73,0,0,26,10.3
2020-01-02T05:00:00Z,28.8,78,0,0,10,9.6
2020-01-02T06:00:00Z,28.6,79,0,0,2,10
2020-01-02T07:00:00Z,29.3,79,0,0,0,10.3
2020-01-02T08:00:00Z,29,79,0,0,0,10.1
2020-01-02T09:00:00Z,32.3,75,0,0,0,9.7
2020-01-02T10:00:00Z,37.7,65,0,0,0,9.7
2020-01-02T11:00:00Z,40.4,60,0,0,0,10.7
2020-01-02T12:00:00Z,42.7,55,0,0,8,12
2020-01-02T13:00:00Z,44.4,52,0,0,29,13.2
2020-01-02T14:00:00Z,45.1,52,0,0,30,12.1
2020-01-02T15:00:00Z,45.3,53,0,0,30,9.2
2020-01-02T16:00:00Z,45.6,54,0,0,30,8.3
2020-01-02T17:00:00Z,44.6,57,0,0,30,8
2020-01-02T18:00:00Z,43.9,60,0,0,27,10
2020-01-02T19:00:00Z,42.8,65,0,0,27,9.7
2020-01-02T20:00:00Z,42.2,68,0,0,30,10.5
2020-01-02T21:00:00Z,41.8,70,0,0,56,10.4
2020-01-02T22:00:00Z,42,71,0,0,53,8.4
2020-01-02T23:00:00Z,41.9,72,0,0,51,9.1
2020-01-03T00:00:00Z,42.5,71,0,0,100,7.7
2020-01-03T01:00:00Z,42.8,72,0,0,100,7.9
2020-01-03T02:00:00Z,43.5,70,0,0,77,8
2020-01-03T03:00:00Z,43.8,70,0,0,89,8.1
2020-01-03T04:00:00Z,43.2,76,0.004,0,91,8.7
2020-01-03T05:00:00Z,42.2,83,0.02,0,100,7.3
2020-01-03T06:00:00Z,42,86,0.035,0,100,6.1
2020-01-03T07:00:00Z,42.1,88,0.031,0,100,7.2
2020-01-03T08:00:00Z,42.3,88,0.02,0,100,5.4
2020-01-03T09:00:00Z,42.6,87,0.008,0,100,6.1
2020-01-03T10:00:00Z,43.8,86,0.004,0,100,6.5
2020-01-03T11:00:00Z,44.1,87,0.008,0,100,6.9
2020-01-03T12:00:00Z,45.2,85,0.008,0,100,5
2020-01-03T13:00:00Z,46.1,84,0,0,100,6
2020-01-03T14:00:00Z,46.4,84,0,0,100,5
2020-01-03T15:00:00Z,46.8,85,0,0,100,5.9
2020-01-03T16:00:00Z,46.8,86,0,0,100,6.7
2020-01-03T17:00:00Z,46.1,88,0,0,100,6.4
2020-01-03T18:00:00Z,45.6,88,0,0,100,6.4
2020-01-03T19:00:00Z,45.2,89,0,0,100,5.9
2020-01-03T20:00:00Z,45.5,89,0,0,100,6.9
2020-01-03T21:00:00Z,45.2,90,0.004,0,100,5.8
2020-01-03T22:00:00Z,44.5,92,0.016,0,100,7.6
2020-01-03T23:00:00Z,45,92,0.024,0,100,4.7
2020-01-04T00:00:00Z,45.1,92,0.02,0,100,0.8
2020-01-04T01:00:00Z,45.2,93,0.02,0,100,2.6
2020-01-04T02:00:00Z,44.8,93,0.016,0,100,3.8
2020-01-04T03:00:00Z,44.3,93,0.016,0,100,3.9
2020-01-04T04:00:00Z,44.7,92,0.028,0,100,3.6
2020-01-04T05:00:00Z,43.9,95,0.024,0,100,3.6
2020-01-04T06:00:00Z,43.9,96,0.016,0,100,5.6
2020-01-04T07:00:00Z,44.3,96,0.004,0,100,7.2
2020-01-04T08:00:00Z,44.5,96,0.004,0,100,8
2020-01-04T09:00:00Z,44.8,96,0,0,100,6.8
2020-01-04T10:00:00Z,46,95,0,0,100,4.7
2020-01-04T11:00:00Z,46.6,95,0.004,0,100,4
2020-01-04T12:00:00Z,47.9,95,0,0,100,1.8
2020-01-04T13:00:00Z,48.8,94,0,0,99,4.3
2020-01-04T14:00:00Z,49.6,93,0,0,98,6.9
2020-01-04T15:00:00Z,50,94,0,0,100,7.6
2020-01-04T16:00:00Z,50.1,93,0,0,100,7.2
2020-01-04T17:00:00Z,49,90,0,0,100,6.5
2020-01-04T18:00:00Z,49.4,89,0,0,100,8.3
2020-01-04T19:00:00Z,48.7,88,0,0,68,9.2
2020-01-04T20:00:00Z,46.4,84,0.008,0,67,12.2
2020-01-04T21:00:00Z,44.6,80,0,0,90,15.6
2020-01-04T22:00:00Z,42,77,0.008,0,90,19.3
2020-01-04T23:00:00Z,41.5,76,0.012,0,96,19.1
2020-01-05T00:00:00Z,40.7,76,0.012,0,100,21.2
2020-01-05T01:00:00Z,39.7,75,0.004,0,66,20.7
2020-01-05T02:00:00Z,39.5,72,0,0,58,20.2
2020-01-05T03:00:00Z,39.2,69,0,0,14,21.1
2020-01-05T04:00:00Z,38.5,65,0,0,37,21.9
2020-01-05T05:00:00Z,37.3,63,0,0,100,20.2
2020-01-05T06:00:00Z,37.7,61,0,0,91,21.1
2020-01-05T07:00:00Z,37.9,61,0,0,60,23.4
2020-01-05T08:00:00Z,37.5,61,0,0,0,23.7
2020-01-05T09:00:00Z,37.9,61,0,0,0,23.8
2020-01-05T10:00:00Z,38.9,57,0,0,42,29.1
2020-01-05T11:00:00Z,39.6,54,0,0,53,31.2
2020-01-05T12:00:00Z,40.1,53,0,0,76,30.9
2020-01-05T13:00:00Z,40.3,51,0,0,60,28.5
2020-01-05T14:00:00Z,40.3,51,0,0,4,25.6
2020-01-05T15:00:00Z,40.3,50,0,0,9,22.3
2020-01-05T16:00:00Z,39.6,52,0,0,9,18.4
2020-01-05T17:00:00Z,38.1,53,0,0,49,13.8
2020-01-05T18:00:00Z,37.6,54,0,0,3,12.3
2020-01-05T19:00:00Z,37,55,0,0,2,9.8
2020-01-05T20:00:00Z,35.8,58,0,0,15,7.8
2020-01-05T21:00:00Z,34.9,61,0,0,36,7.2
2020-01-05T22:00:00Z,33.9,66,0,0,80,7.1
2020-01-05T23:00:00Z,33.8,67,0,0,84,8.3
2020-01-06T00:00:00Z,33.7,69,0,0,79,10
2020-01-06T01:00:00Z,33.3,71,0,0.14,65,11.2
2020-01-06T02:00:00Z,32.8,76,0,0.21,60,8.4
2020-01-06T03:00:00Z,32.1,83,0,0.07,51,7.6
2020-01-06T04:00:00Z,31.7,86,0,0,35,7.4
2020-01-06T05:00:00Z,32.4,88,0,0,100,6.4
2020-01-06T06:00:00Z,32.4,86,0,0,100,8.6
2020-01-06T07:00:00Z,33.3,83,0,0,100,10.2
2020-01-06T08:00:00Z,33.5,80,0,0,100,12.3
2020-01-06T09:00:00Z,33.7,78,0,0,59,13.2
2020-01-06T10:00:00Z,36,73,0,0,22,14.2
2020-01-06T11:00:00Z,37.9,69,0,0,2,15.8
2020-01-06T12:00:00Z,41.5,64,0,0,12,17.9
2020-01-06T13:00:00Z,43.6,56,0,0,94,22.5
2020-01-06T14:00:00Z,43.8,55,0,0,56,18.4
2020-01-06T15:00:00Z,44.3,53,0,0,32,14.4
2020-01-06T16:00:00Z,44.3,53,0,0,1,12.8
2020-01-06T17:00:00Z,42.3,55,0,0,0,8.2
2020-01-06T18:00:00Z,40.4,58,0,0,0,8.1
2020-01-06T19:00:00Z,39.4,61,0,0,0,10.2
2020-01-06T20:00:00Z,39.3,61,0,0,0,13
2020-01-06T21:00:00Z,38.8,61,0,0,3,14.7
2020-01-06T22:00:00Z,38.3,59,0,0,12,15.9
2020-01-06T23:00:00Z,38.2,60,0,0,20,16.9
2020-01-07T00:00:00Z,37.9,60,0,0,17,16.2
2020-01-07T01:00:00Z,37.4,61,0,0,10,14.2
2020-01-07T02:00:00Z,36.8,61,0,0,7,14.2
2020-01-07T03:00:00Z,36.2,62,0,0,13,13.8
2020-01-07T04:00:00Z,36.2,62,0,0,15,13.1
2020-01-07T05:00:00Z,33.6,66,0,0,23,9.3
2020-01-07T06:00:00Z,33.5,66,0,0,25,8.7
2020-01-07T07:00:00Z,33.4,67,0,0,26,8.6
2020-01-07T08:00:00Z,32.9,68,0,0,35,7.4
2020-01-07T09:00:00Z,33.6,69,0,0,61,4.8
2020-01-07T10:00:00Z,37.8,63,0,0,35,4
2020-01-07T11:00:00Z,39.1,61,0,0,54,3.6
2020-01-07T12:00:00Z,41.3,48,0,0,74,1.8
2020-01-07T13:00:00Z,40.7,51,0,0,89,4.8
2020-01-07T14:00:00Z,41.1,53,0,0,90,8.4
2020-01-07T15:00:00Z,40.9,53,0,0,90,7.9
2020-01-07T16:00:00Z,39.9,59,0,0,90,6.8
2020-01-07T17:00:00Z,39,64,0,0,90,5.8
2020-01-07T18:00:00Z,38,67,0.004,0,90,4.8
2020-01-07T19:00:00Z,37.2,71,0.008,0.07,90,4.2
2020-01-07T20:00:00Z,36.7,74,0.004,0.07,95,5.7
2020-01-07T21:00:00Z,36.2,77,0,0.07,81,6.7
2020-01-07T22:00:00Z,35,81,0,0.07,71,8.4
2020-01-07T23:00:00Z,35.2,83,0,0,39,9
2020-01-08T00:00:00Z,34.8,83,0,0,21,9.8
2020-01-08T01:00:00Z,33.6,87,0,0,7,9
2020-01-08T02:00:00Z,33.5,87,0,0,0,12
2020-01-08T03:00:00Z,33.1,88,0,0,0,12.2
2020-01-08T04:00:00Z,31.9,88,0,0,0,12.1
2020-01-08T05:00:00Z,30.2,92,0,0,15,14.2
2020-01-08T06:00:00Z,29.9,92,0,0,56,14.7
2020-01-08T07:00:00Z,30.4,91,0,0,48,14.5
2020-01-08T08:00:00Z,30.8,91,0,0,54,15
2020-01-08T09:00:00Z,32.5,89,0,0,48,14.8
2020-01-08T10:00:00Z,35.3,82,0,0,41,16.3
2020-01-08T11:00:00Z,36.9,77,0,0,29,23.7
2020-01-08T12:00:00Z,38.1,70,0,0,11,24.1
2020-01-08T13:00:00Z,39.8,58,0,0,32,27
2020-01-08T14:00:00Z,39.9,53,0.008,0,32,29.7
2020-01-08T15:00:00Z,39.2,53,0,0,0,25.6
2020-01-08T16:00:00Z,37.9,50,0,0,0,24.7
2020-01-08T17:00:00Z,35.2,48,0,0,6,24.8
2020-01-08T18:00:00Z,34.5,46,0,0,0,23.7
2020-01-08T19:00:00Z,33.6,47,0,0,0,22.7
2020-01-08T20:00:00Z,32.7,48,0,0,0,22.1
2020-01-08T21:00:00Z,31.7,50,0,0,88,20.8
2020-01-08T22:00:00Z,30.3,52,0,0,89,18.7
2020-01-08T23:00:00Z,30.3,53,0,0,100,18.7
2020-01-09T00:00:00Z,29.9,51,0,0,64,20.1
2020-01-09T01:00:00Z,28.8,51,0,0,0,21.3
2020-01-09T02:00:00Z,28.1,51,0,0,0,20.2
2020-01-09T03:00:00Z,27.3,51,0,0,0,18.7
2020-01-09T04:00:00Z,26.5,50,0,0,0,17.9
2020-01-09T05:00:00Z,23.5,57,0,0,0,16.1
2020-01-09T06:00:00Z,23.4,58,0,0,0,15.3
2020-01-09T07:00:00Z,23.7,57,0,0,0,15.1
2020-01-09T08:00:00Z,23.8,57,0,0,0,13.2
2020-01-09T09:00:00Z,24.8,55,0,0,0,12.1
2020-01-09T10:00:00Z,27.3,49,0,0,0,10.7
2020-01-09T11:00:00Z,28.1,47,0,0,13,10.2
2020-01-09T12:00:00Z,29.3,44,0,0,8,8.5
